Imbalanced Loss	Imbalanced Acc.	Imbalanced GM.	Reversed Loss	Reversed Acc.	Reversed GM.	Weak Loss	Weak Acc.	Weak GM.	Strong Loss	Strong Acc.	Strong GM.	
0.445001	89.144471	0.680407	2.646602	50.040355	0.670348	1.341382	70.780000	0.678631	1.432527	52.510000	0.474546	
0.438719	89.023406	0.733583	2.186285	54.317998	0.688954	1.244550	71.800000	0.694469	1.323934	54.300000	0.533064	
0.438025	89.023406	0.686689	2.238139	52.744148	0.684781	1.258581	71.180000	0.686032	1.385123	53.010000	0.481007	
0.437308	89.265537	0.666429	2.519807	50.968523	0.675802	1.325609	70.830000	0.679832	1.403202	52.700000	0.477679	
0.435871	89.467312	0.672266	2.592006	51.372074	0.682020	1.357118	70.940000	0.681418	1.420155	53.530000	0.481821	
0.440090	89.749798	0.681916	2.645280	51.815981	0.687918	1.355129	71.370000	0.688681	1.402690	53.530000	0.492492	
0.435092	89.830508	0.690132	2.728811	51.049233	0.681529	1.380266	71.030000	0.682127	1.448754	52.960000	0.483021	
0.431650	90.072639	0.713231	2.634508	53.107345	0.697919	1.327378	71.750000	0.694359	1.411982	53.940000	0.504702	
0.428955	90.153349	0.703327	2.656328	52.905569	0.698654	1.326678	71.930000	0.696873	1.423197	53.760000	0.499148	
0.428446	89.749798	0.695657	2.466991	55.528652	0.701983	1.277720	72.450000	0.704442	1.359354	54.290000	0.512255	
0.418974	90.032284	0.687815	2.389955	55.891848	0.707274	1.246479	72.920000	0.710381	1.357482	55.120000	0.518945	
0.418611	90.032284	0.735705	2.335306	56.981437	0.720482	1.243575	73.020000	0.711883	1.355737	54.490000	0.515447	
0.412199	89.628733	0.723598	2.184798	58.071025	0.723400	1.186858	73.650000	0.720496	1.364883	54.550000	0.513739	
0.412865	89.830508	0.769449	1.876130	61.138015	0.732495	1.111364	74.310000	0.729464	1.328217	56.000000	0.534401	
0.410706	89.911219	0.756728	1.963525	59.765940	0.724047	1.138020	73.800000	0.723029	1.313311	56.020000	0.532758	
0.417802	90.072639	0.756689	2.066692	58.676352	0.720600	1.163621	73.770000	0.721936	1.356946	55.000000	0.523216	
0.416349	90.314770	0.761356	2.097407	58.797417	0.724850	1.191809	73.400000	0.717410	1.326208	56.150000	0.534669	
0.412243	90.112994	0.745181	2.210840	57.828894	0.723442	1.202543	73.370000	0.715610	1.352877	56.090000	0.532100	
0.411775	89.830508	0.739957	2.194578	58.232446	0.719504	1.200518	73.450000	0.716645	1.351517	55.000000	0.518997	
0.405196	89.709443	0.731093	2.356880	56.335755	0.707008	1.241389	73.350000	0.713809	1.358158	55.540000	0.524068	
0.402660	90.072639	0.737905	2.234280	58.111380	0.716956	1.195318	74.170000	0.724666	1.338786	55.930000	0.528933	
0.400095	90.112994	0.749969	2.224721	58.353511	0.726260	1.191854	73.930000	0.722757	1.346380	56.310000	0.534662	
0.395696	90.556901	0.749570	2.318957	57.707829	0.720248	1.226281	73.620000	0.718346	1.349235	55.680000	0.528684	
0.401458	90.556901	0.749890	2.352654	57.869249	0.720590	1.251309	73.160000	0.713209	1.320104	56.820000	0.542058	
0.396782	90.435835	0.742514	2.422732	56.739306	0.712297	1.245539	73.570000	0.716088	1.346163	56.700000	0.539299	
0.397384	90.153349	0.733158	2.431155	56.618240	0.712958	1.227278	73.310000	0.715061	1.336968	55.960000	0.531881	
0.393638	90.314770	0.735803	2.505181	56.456820	0.712451	1.255243	73.490000	0.716088	1.333675	56.660000	0.539640	
